latitude,longitude,value,Prefrecture
24.45833333,122.9583333,2972544.505,Okinawa
24.375,123.7916667,1089257.35,Okinawa
24.375,123.875,497494.2068,Okinawa
24.45833333,124.125,1346343.473,Okinawa
24.375,124.2083333,1231387955,Okinawa
24.54166667,124.2916667,3313058.922,Okinawa
24.79166667,125.2916667,423059451.8,Okinawa
26.375,126.7083333,2107021.697,Okinawa
26.375,126.7916667,0,Okinawa
26.20833333,127.7083333,98218227371,Okinawa
26.125,127.7083333,22925779148,Okinawa
26.70833333,127.7916667,382557121.5,Okinawa
26.375,127.7916667,59148803833,Okinawa
26.29166667,127.7916667,18663419266,Okinawa
26.45833333,127.875,1356765765,Okinawa
26.625,127.9583333,4172619933,Okinawa
26.54166667,127.9583333,880547470.7,Okinawa
26.625,128.0416667,560919824.7,Okinawa
26.54166667,128.0416667,5697973329,Okinawa
26.70833333,128.125,1710775.822,Okinawa
26.625,128.125,5621705.442,Okinawa
26.70833333,128.2083333,4882858.076,Okinawa
26.79166667,128.2916667,1209706.308,Okinawa
26.70833333,128.2916667,0,Okinawa
27.375,128.5416667,45810644.28,Kagoshima
32.625,128.625,6831707.501,Nagasaki
32.70833333,128.7083333,7862287.903,Nagasaki
32.625,128.7083333,7869630.201,Nagasaki
32.79166667,128.7916667,0,Nagasaki
32.70833333,128.7916667,15724575.81,Nagasaki
27.875,128.9583333,54.65998636,Kagoshima
27.79166667,128.9583333,7271716.725,Kagoshima
27.70833333,128.9583333,9880695.927,Kagoshima
32.95833333,129.0416667,8274129.819,Nagasaki
32.875,129.0416667,8252131.836,Nagasaki
32.95833333,129.125,8303846.538,Nagasaki
34.29166667,129.2083333,123401.4727,Nagasaki
34.20833333,129.2083333,3873363.77,Nagasaki
34.125,129.2083333,3877193.342,Nagasaki
34.45833333,129.2916667,3861826.969,Nagasaki
34.375,129.2916667,3767051.199,Nagasaki
34.29166667,129.2916667,1289783.469,Nagasaki
34.20833333,129.2916667,101496698.3,Nagasaki
28.29166667,129.2916667,3408926.242,Kagoshima
28.20833333,129.2916667,3565201.724,Kagoshima
34.625,129.375,3842819.244,Nagasaki
34.54166667,129.375,3857964.946,Nagasaki
34.45833333,129.375,693893.4172,Nagasaki
34.375,129.375,62238.71207,Nagasaki
