,SID,SEASON,NAME,ISO_TIME,LAT,LON,CATEGORY,COUNTRY,PREF
0,2000184N13133,2000,KIROGI,3/7/2000 18:00,17.05,131.65,1,PH,Eastern Visayas
1,2000184N13133,2000,KIROGI,3/7/2000 21:00,17.2488,131.661,1,PH,Eastern Visayas
2,2000184N13133,2000,KIROGI,4/7/2000 0:00,17.5,131.675,1,PH,Eastern Visayas
3,2000184N13133,2000,KIROGI,4/7/2000 3:00,17.87,131.668,2,PH,Bicol
4,2000184N13133,2000,KIROGI,4/7/2000 6:00,18.3,131.65,3,PH,Bicol
5,2000184N13133,2000,KIROGI,4/7/2000 9:00,18.7231,131.627,3,JP,Okinawa
6,2000184N13133,2000,KIROGI,4/7/2000 12:00,19.15,131.6,4,JP,Okinawa
7,2000184N13133,2000,KIROGI,4/7/2000 15:00,19.57,131.53799999999998,4,JP,Okinawa
8,2000184N13133,2000,KIROGI,4/7/2000 18:00,19.975,131.55,4,JP,Okinawa
9,2000184N13133,2000,KIROGI,4/7/2000 21:00,20.3407,131.732,4,JP,Okinawa
10,2000184N13133,2000,KIROGI,5/7/2000 0:00,20.725,132.0,4,JP,Okinawa
11,2000184N13133,2000,KIROGI,5/7/2000 3:00,21.2,132.257,4,JP,Okinawa
12,2000184N13133,2000,KIROGI,5/7/2000 6:00,21.675,132.525,4,JP,Okinawa
13,2000184N13133,2000,KIROGI,5/7/2000 9:00,22.0593,132.786,3,JP,Okinawa
14,2000184N13133,2000,KIROGI,5/7/2000 12:00,22.425,133.05,3,JP,Okinawa
15,2000184N13133,2000,KIROGI,5/7/2000 15:00,22.8262,133.31799999999998,3,JP,Okinawa
16,2000184N13133,2000,KIROGI,5/7/2000 18:00,23.25,133.6,3,JP,Okinawa
17,2000184N13133,2000,KIROGI,5/7/2000 21:00,23.7075,133.918,2,JP,Kagoshima
18,2000184N13133,2000,KIROGI,6/7/2000 0:00,24.15,134.225,2,JP,Kagoshima
19,2000184N13133,2000,KIROGI,6/7/2000 3:00,24.5161,134.459,2,JP,Kagoshima
20,2000184N13133,2000,KIROGI,6/7/2000 6:00,24.875,134.7,2,JP,Kagoshima
21,2000184N13133,2000,KIROGI,6/7/2000 9:00,25.2701,135.026,1,JP,Kagoshima
22,2000184N13133,2000,KIROGI,6/7/2000 12:00,25.725,135.375,1,JP,Kagoshima
23,2000184N13133,2000,KIROGI,6/7/2000 15:00,26.2574,135.684,1,JP,Kagoshima
24,2000184N13133,2000,KIROGI,6/7/2000 18:00,26.85,136.0,1,JP,Kagoshima
25,2000184N13133,2000,KIROGI,6/7/2000 21:00,27.4261,136.341,1,JP,Kochi
26,2000184N13133,2000,KIROGI,7/7/2000 0:00,28.1,136.725,1,JP,Wakayama
27,2000184N13133,2000,KIROGI,7/7/2000 3:00,28.9368,137.161,1,JP,Wakayama
28,2000184N13133,2000,KIROGI,7/7/2000 6:00,29.875,137.65,1,JP,Wakayama
29,2000184N13133,2000,KIROGI,7/7/2000 9:00,30.8112,138.175,1,JP,Wakayama
30,2000184N13133,2000,KIROGI,7/7/2000 12:00,31.825,138.775,1,JP,Shizuoka
31,2000184N13133,2000,KIROGI,7/7/2000 15:00,32.9541,139.322,1,JP,Shizuoka
32,2000184N13133,2000,KIROGI,7/7/2000 18:00,34.125,139.9,1,JP,Chiba
33,2000184N13133,2000,KIROGI,7/7/2000 21:00,35.2793,140.66,1,JP,Chiba
34,2000184N13133,2000,KIROGI,8/7/2000 0:00,36.45,141.3,1,JP,Ibaraki
35,2000184N13133,2000,KIROGI,8/7/2000 3:00,37.8351,142.043,1,JP,Miyagi
36,2000184N13133,2000,KIROGI,8/7/2000 6:00,39.1,142.75,1,JP,Iwate
37,2000214N22155,2000,JELAWAT,1/8/2000 18:00,22.0,150.2,1,MP,Saipan
38,2000214N22155,2000,JELAWAT,1/8/2000 21:00,22.0329,149.787,2,MP,Saipan
39,2000214N22155,2000,JELAWAT,2/8/2000 0:00,22.1,149.4,3,MP,Saipan
40,2000214N22155,2000,JELAWAT,2/8/2000 3:00,22.1886,148.995,3,MP,Saipan
41,2000214N22155,2000,JELAWAT,2/8/2000 6:00,22.3,148.575,4,MP,Saipan
42,2000214N22155,2000,JELAWAT,2/8/2000 9:00,22.3986,148.143,4,MP,Saipan
43,2000214N22155,2000,JELAWAT,2/8/2000 12:00,22.55,147.675,4,MP,Saipan
44,2000214N22155,2000,JELAWAT,2/8/2000 15:00,22.8006,147.151,4,MP,Saipan
45,2000214N22155,2000,JELAWAT,2/8/2000 18:00,23.1,146.6,4,MP,Saipan
46,2000214N22155,2000,JELAWAT,2/8/2000 21:00,23.375999999999998,146.06799999999998,4,MP,Saipan
47,2000214N22155,2000,JELAWAT,3/8/2000 0:00,23.675,145.525,4,MP,Saipan
48,2000214N22155,2000,JELAWAT,3/8/2000 3:00,24.0265,144.972,4,MP,Saipan
49,2000214N22155,2000,JELAWAT,3/8/2000 6:00,24.375,144.375,4,MP,Saipan
50,2000214N22155,2000,JELAWAT,3/8/2000 9:00,24.6782,143.707,4,MP,Saipan
51,2000214N22155,2000,JELAWAT,3/8/2000 12:00,24.925,143.0,4,MP,Saipan
52,2000214N22155,2000,JELAWAT,3/8/2000 15:00,25.0928,142.299,3,JP,Shizuoka
53,2000214N22155,2000,JELAWAT,3/8/2000 18:00,25.225,141.65,3,JP,Shizuoka
54,2000214N22155,2000,JELAWAT,3/8/2000 21:00,25.473000000000003,140.984,3,JP,Shizuoka
55,2000214N22155,2000,JELAWAT,4/8/2000 0:00,25.675,140.325,3,JP,Shizuoka
56,2000214N22155,2000,JELAWAT,4/8/2000 3:00,25.8873,139.69,3,JP,Wakayama
57,2000214N22155,2000,JELAWAT,4/8/2000 6:00,26.05,139.05,2,JP,Wakayama
58,2000214N22155,2000,JELAWAT,4/8/2000 9:00,26.0886,138.373,2,JP,Wakayama
59,2000214N22155,2000,JELAWAT,4/8/2000 12:00,26.075,137.7,2,JP,Wakayama
60,2000214N22155,2000,JELAWAT,4/8/2000 15:00,26.0855,137.049,2,JP,Kagoshima
61,2000214N22155,2000,JELAWAT,4/8/2000 18:00,26.1,136.45,2,JP,Kagoshima
62,2000214N22155,2000,JELAWAT,4/8/2000 21:00,26.1284,135.929,2,JP,Kagoshima
63,2000214N22155,2000,JELAWAT,5/8/2000 0:00,26.15,135.45,2,JP,Kagoshima
64,2000214N22155,2000,JELAWAT,5/8/2000 3:00,26.1429,134.961,2,JP,Kagoshima
