Year,Country,Average_Temperature
2000,Tokyo,16.9
2000,Yokohama,16.2
2000,Osaka,17.2
2000,Fukushima,13.5
2000,Aomori,10.7
2000,Chiba,16.2
2000,Kyoto,16.2
2000,Akita,12.2
2000,Nagano,12.2
2000,Fukui,14.9
2001,Tokyo,16.5
2001,Yokohama,16
2001,Osaka,17.1
2001,Fukushima,12.8
2001,Aomori,9.9
2001,Chiba,15.8
2001,Kyoto,16.1
2001,Akita,11.6
2001,Nagano,11.8
2001,Fukui,14.6
2002,Tokyo,16.7
2002,Yokohama,16.1
2002,Osaka,17.3
2002,Fukushima,13.3
2002,Aomori,10.5
2002,Chiba,16.1
2002,Kyoto,16.3
2002,Akita,11.8
2002,Nagano,12.3
2002,Fukui,14.8
2003,Tokyo,16
2003,Yokohama,15.6
2003,Osaka,16.9
2003,Fukushima,12.7
2003,Aomori,10.2
2003,Chiba,15.5
2003,Kyoto,15.8
2003,Akita,11.8
2003,Nagano,11.9
2003,Fukui,14.5
2004,Tokyo,17.3
2004,Yokohama,16.9
2004,Osaka,17.9
2004,Fukushima,13.8
2004,Aomori,11.3
2004,Chiba,16.8
2004,Kyoto,16.8
2004,Akita,12.5
2004,Nagano,12.7
2004,Fukui,15.5
2005,Tokyo,16.2
2005,Yokohama,16
2005,Osaka,17
2005,Fukushima,12.9
2005,Aomori,10.1
2005,Chiba,15.8
2005,Kyoto,15.9
2005,Akita,11.7
2005,Nagano,11.6
2005,Fukui,14.5
2006,Tokyo,16.4
2006,Yokohama,16
2006,Osaka,17
2006,Fukushima,13
2006,Aomori,10.2
2006,Chiba,16
2006,Kyoto,15.9
2006,Akita,11.9
2006,Nagano,12.1
2006,Fukui,14.5
2007,Tokyo,16.7
2007,Yokohama,16.5
2007,Osaka,17.6
2007,Fukushima,13.6
2007,Aomori,11.1
2007,Chiba,16.6
2007,Kyoto,16.3
2007,Akita,12.4
2007,Nagano,12.5
2007,Fukui,15
2008,Tokyo,16.9
2008,Yokohama,16
2008,Osaka,17
2008,Fukushima,13.2
2008,Aomori,10.7
2008,Chiba,16.1
2008,Kyoto,16
2008,Akita,12.3
2008,Nagano,12.2
2008,Fukui,14.7
2009,Tokyo,16.5
2009,Yokohama,16.3
2009,Osaka,17.1
2009,Fukushima,13.5
2009,Aomori,10.6
2009,Chiba,16.3
2009,Kyoto,16.1
2009,Akita,12
2009,Nagano,12.4
2009,Fukui,14.7
2010,Tokyo,16.9
2010,Yokohama,16.5
2010,Osaka,17.3
2010,Fukushima,13.8
2010,Aomori,11.1
2010,Chiba,16.6
2010,Kyoto,16.4
2010,Akita,12.3
2010,Nagano,12.6
2010,Fukui,15
2011,Tokyo,16.5
2011,Yokohama,16.3
2011,Osaka,16.9
2011,Fukushima,13.3
2011,Aomori,10.6
2011,Chiba,16.3
2011,Kyoto,16
2011,Akita,11.8
2011,Nagano,12
2011,Fukui,14.6
2012,Tokyo,16.3
2012,Yokohama,15.8
2012,Osaka,16.6
2012,Fukushima,13.2
2012,Aomori,10.5
2012,Chiba,15.9
2012,Kyoto,15.8
2012,Akita,12.1
2012,Nagano,12.1
2012,Fukui,14.6
2013,Tokyo,17.1
2013,Yokohama,16.6
2013,Osaka,17.1
2013,Fukushima,13.4
2013,Aomori,10.5
2013,Chiba,16.6
2013,Kyoto,16.2
2013,Akita,11.9
2013,Nagano,12.3
2013,Fukui,14.9
2014,Tokyo,16.6
2014,Yokohama,16.2
2014,Osaka,16.7
2014,Fukushima,13.3
2014,Aomori,10.7
2014,Chiba,16.3
2014,Kyoto,16.1
2014,Akita,12
2014,Nagano,11.9
2014,Fukui,14.6
2015,Tokyo,16.4
2015,Yokohama,16.7
2015,Osaka,17.2
2015,Fukushima,14.2
2015,Aomori,11.5
2015,Chiba,16.7
2015,Kyoto,16.6
2015,Akita,12.7
2015,Nagano,12.8
2015,Fukui,15.2
2016,Tokyo,16.4
2016,Yokohama,16.9
2016,Osaka,17.7
2016,Fukushima,14.2
2016,Aomori,11
2016,Chiba,16.8
2016,Kyoto,17.1
2016,Akita,12.5
2016,Nagano,13.1
2016,Fukui,15.6
2017,Tokyo,15.8
2017,Yokohama,16.3
2017,Osaka,16.8
2017,Fukushima,13.4
2017,Aomori,10.7
2017,Chiba,16.3
2017,Kyoto,16
2017,Akita,11.9
2017,Nagano,11.9
2017,Fukui,14.6
2018,Tokyo,16.8
2018,Yokohama,17.1
2018,Osaka,17.4
2018,Fukushima,14.2
2018,Aomori,11
2018,Chiba,17.2
2018,Kyoto,16.9
2018,Akita,12.3
2018,Nagano,13
2018,Fukui,15.3
2019,Tokyo,16.5
2019,Yokohama,16.9
2019,Osaka,17.6
2019,Fukushima,14
2019,Aomori,11.4
2019,Chiba,16.8
2019,Kyoto,16.9
2019,Akita,12.9
2019,Nagano,12.9
2019,Fukui,15.6
2020,Tokyo,17.7
2020,Yokohama,18
2020,Osaka,18.9
2020,Fukushima,15.5
2020,Aomori,13
2020,Chiba,18.1
2020,Kyoto,18.3
2020,Akita,14.3
2020,Nagano,14.6
2020,Fukui,16.9
